UAB,LTAG,Incirlik Air Base[1],"Adana, Turkey"
UHE,LKKU,Kunovice Airport,"Uherské Hradiště, Czech Republic"
UIB,SKUI,El Caraño Airport,"Quibdó, Colombia"
UIH,VVPC,Phu Cat Airport,"Qui Nhơn, Vietnam"
UII,MHUT,Útila Airport,"Útila, Honduras"
UIK,UIBS,Ust-Ilimsk Airport,"Ust-Ilimsk, Irkutsk Oblast, Russia"
UIL,KUIL,Quillayute Airport,"Forks, Washington, United States"
UIN,KUIN,Quincy Regional Airport (Baldwin Field),"Quincy, Illinois, United States"
UIO,SEQM,Mariscal Sucre International Airport,"Quito, Ecuador"
UIP,LFRQ,Quimper–Cornouaille Airport (Pluguffan),"Quimper, Brittany, France"
UIQ,NVVQ,Quoin Hill Airfield,"Quoin Hill, Vanuatu"
UIR,YQDI,Quirindi Airport[1],"Quirindi, New South Wales, Australia"
UIT,,Jaluit Airport (FAA: N55),"Jaluit Atoll, Marshall Islands"
UJE,,Ujae Airport,"Ujae Atoll, Marshall Islands"
UJN,RKTL,Uljin Airport[1],"Uljin, South Korea"
UJU,ZKUJ,Uiju Airfield[1],"Uiju, North Korea"
UKA,HKUK,Ukunda Airport[1] (Diani Airport),"Ukunda, Kenya"
UKB,RJBE,Kobe Airport,"Kobe / Osaka, Honshu, Japan"
UKG,UEBT,Ust-Kuyga Airport,"Ust-Kuyga, Yakutia, Russia"
UKH,OOMK,Mukhaizna Airport[1],"Mukhaizna, Oman"
UKI,KUKI,Ukiah Municipal Airport,"Ukiah, California, United States"
UKK,UASK,Oskemen Airport (Ust-Kamenogorsk Airport),"Oskemen (Ust-Kamenogorsk), Kazakhstan"
UKN,,Waukon Municipal Airport (FAA: Y01),"Waukon, Iowa, United States"
UKR,OYMK,Mukeiras Airport[1],"Mukayras, Yemen"
UKS,UKFB,Sevastopol International Airport[1],Sevastopol
UKT,KUKT,Quakertown Airport,"Quakertown, Pennsylvania, United States"
UKU,,Nuku Airport[1],"Nuku, Papua New Guinea"
UKX,UITT,Ust-Kut Airport,"Ust-Kut, Irkutsk Oblast, Russia"
ULA,SAWJ,Capitán José Daniel Vazquez Airport[1],"Puerto San Julián, Santa Cruz, Argentina"
ULB,NVSU,Ulei Airport[1],"Ulei, Vanuatu"
ULD,FAUL,Ulundi Airport[1],"Ulundi, South Africa"
ULE,,Sule Airport[1],"Sule, Papua New Guinea"
ULG,ZMUL,Ölgii Airport[1],"Ölgii, Mongolia"
ULH,OEAO,Prince Abdul Majeed bin Abdulaziz Domestic Airport[1],"Al-'Ula, Saudi Arabia"
ULI,,Ulithi Airport (FAA: TT02),"Ulithi, Federated States of Micronesia"
ULK,UERL,Lensk Airport[1],"Lensk, Yakutia, Russia"
ULL,,Glenforsa Airfield[1],"Mull, Scotland, United Kingdom"
ULM,KULM,New Ulm Municipal Airport,"New Ulm, Minnesota, United States"
ULN,ZMUB,Buyant-Ukhaa International Airport,"Ulaanbaatar, Mongolia"
ULO,ZMUG,Ulaangom Airport,"Ulaangom, Mongolia"
ULP,YQLP,Quilpie Airport[1],"Quilpie, Queensland, Australia"
ULQ,SKUL,Heriberto Gíl Martínez Airport[1],"Tuluá, Colombia"
ULS,,Mulatos Airport,"Mulatos, Colombia"
ULU,HUGU,Gulu Airport[1],"Gulu, Uganda"
ULV,UWLL,Ulyanovsk Baratayevka Airport,"Ulyanovsk, Ulyanovsk Oblast, Russia"
ULX,,Ulusaba Airstrip[1],"Ulusaba, South Africa"
ULY,UWLW,Ulyanovsk Vostochny Airport,"Ulyanovsk, Ulyanovsk Oblast, Russia"
ULZ,ZMDN,Donoi Airport[1],"Uliastai, Mongolia"
UMA,,Punta de Maisí Airport,"Maisí, Cuba"
UMC,,Umba Airport[1],"Umba, Papua New Guinea"
UME,ESNU,Umeå Airport,"Umeå, Sweden"
UMI,SPIL,Quince Mil Airport[1],"Quince Mil, Peru"
UMM,PAST,Summit Airport,"Summit, Alaska, United States"
