TSM,KSKX,Taos Regional Airport (FAA: SKX),"Taos, New Mexico, United States"
TSN,ZBTJ,Tianjin Binhai International Airport,"Tianjin, China"
TSP,KTSP,Tehachapi Municipal Airport,"Tehachapi, California, United States"
TSQ,SBTR,Torres Airport[1],"Torres, Rio Grande do Sul, Brazil"
TSR,LRTR,Timișoara Traian Vuia International Airport,"Timișoara, Romania"
TST,VTST,Trang Airport,"Trang, Thailand"
TSU,NGTS,Tabiteuea South Airport[1],"Tabiteuea South, Kiribati"
TSV,YBTL,Townsville Airport,"Townsville, Queensland, Australia"
TSW,,Tsewi Airport[1],"Tsewi, Papua New Guinea"
TSY,WICM,Tasikmalaya Airport[1] (Wiriadinata Airport),"Tasikmalaya, West Java, Indonesia"
TSX,WRLT,Tanjung Santan Airport[1],"Tanjung Santan, Indonesia"
TSZ,ZMTG,Tsetserleg Airport,"Tsetserleg, Mongolia"
TTA,GMAT,Tan Tan Airport (Plage Blanche Airport),"Tan-Tan, Morocco"
TTB,LIET,Tortolì Airport (Arbatax Airport),"Tortolì, Sardinia, Italy"
TTC,SCTT,Las Breas Airport[1],"Taltal, Chile"
TTD,KTTD,Portland–Troutdale Airport,"Portland, Oregon, United States"
TTE,WAEE,Sultan Babullah Airport[1],"Ternate, Indonesia"
TTG,SAST,"Tartagal ""General Enrique Mosconi"" Airport","Tartagal, Salta, Argentina"
TTH,OOTH,RAFO Thumrait[1],"Thumrait, Oman"
TTI,NTTE,Tetiaroa Airport[1],"Tetiaroa, Society Islands, French Polynesia"
TTJ,RJOR,Tottori Airport[1],"Tottori, Honshu, Japan"
TTL,,Turtle Island Seaplane Base[1],"Nanuya Levu, Fiji"
TTM,,Tablón de Tamará Airport,"Tablón de Tamará, Colombia"
TTN,KTTN,Trenton–Mercer Airport,"Trenton, New Jersey, United States"
